repo,all_issues,issues_without_label,issues_with_label,label_usage_percentage
CyC2018/CS-Notes,931,339,592,0.635875402792696
Snailclimb/JavaGuide,934,581,353,0.37794432548179874
iluwatar/java-design-patterns,1500,229,1271,0.8473333333333334
MisterBooo/LeetCodeAnimation,116,116,0,0.0
elastic/elasticsearch,62557,9109,53448,0.8543887974167559
spring-projects/spring-boot,23234,2976,20258,0.8719118533184127
kdn251/interviews,161,161,0,0.0
doocs/advanced-java,188,173,15,0.0797872340425532
ReactiveX/RxJava,6426,2086,4340,0.6753812636165577
macrozheng/mall,398,397,1,0.002512562814070352
spring-projects/spring-framework,23080,2302,20778,0.9002599653379549
google/guava,3913,278,3635,0.9289547661640685
square/okhttp,6160,4510,1650,0.26785714285714285
square/retrofit,3404,3122,282,0.08284371327849589
apache/dubbo,6714,5439,1275,0.18990169794459338
PhilJay/MPAndroidChart,4935,4705,230,0.04660587639311044
TheAlgorithms/Java,1451,1327,124,0.08545830461750517
bumptech/glide,4298,498,3800,0.8841321544904607
airbnb/lottie-android,1603,1371,232,0.14472863381160325
Blankj/AndroidUtilCode,1309,1065,244,0.186401833460657
zxing/zxing,1281,1157,124,0.09679937548790007
proxyee-down-org/proxyee-down,31,31,0,0.0
JakeWharton/butterknife,1613,1502,111,0.06881587104773713
crossoverJie/JCSprout,192,75,117,0.609375
kon9chunkit/GitHub-Chinese-Top-Charts,122,122,0,0.0
netty/netty,10484,5045,5439,0.5187905379626097
ityouknow/spring-boot-examples,133,133,0,0.0
skylot/jadx,969,654,315,0.32507739938080493
alibaba/arthas,1514,997,517,0.3414795244385733
eugenp/tutorials,10021,9847,174,0.017363536573196288
greenrobot/EventBus,635,473,162,0.2551181102362205
alibaba/fastjson,3416,2753,663,0.19408665105386416
ctripcorp/apollo,3288,2611,677,0.20590024330900245
NationalSecurityAgency/ghidra,2281,901,1380,0.6049978079789566
alibaba/druid,3918,3334,584,0.14905564063297602
scwang90/SmartRefreshLayout,1243,1125,118,0.09493161705551086
CymChad/BaseRecyclerViewAdapterHelper,3297,3268,29,0.008795875037913254
Netflix/Hystrix,1783,1275,508,0.284913067863152
ReactiveX/RxAndroid,564,552,12,0.02127659574468085
SeleniumHQ/selenium,8577,5172,3405,0.3969919552291011
lenve/vhr,234,185,49,0.2094017094017094
google/gson,1766,1238,528,0.29898074745186864
geekxh/hello-algorithm,42,41,1,0.023809523809523808
xkcoding/spring-boot-demo,145,43,102,0.7034482758620689
square/picasso,2154,2086,68,0.031569173630454965
libgdx/libgdx,6073,5053,1020,0.16795652889840276
seata/seata,3139,2326,813,0.25899968142720614
hollischuang/toBeTopJavaer,99,99,0,0.0
chrisbanes/PhotoView,748,598,150,0.20053475935828877
alibaba/easyexcel,1578,654,924,0.5855513307984791
apache/kafka,9328,8049,1279,0.1371140651801029
qiurunze123/miaosha,86,71,15,0.1744186046511628
wuyouzhuguli/SpringAll,34,34,0,0.0
nostra13/Android-Universal-Image-Loader,1334,832,502,0.37631184407796103
halo-dev/halo,1054,249,805,0.7637571157495257
google/ExoPlayer,7906,1078,6828,0.8636478623830003
facebook/fresco,2484,859,1625,0.6541867954911433
jenkinsci/jenkins,4869,2671,2198,0.4514273978229616
alibaba/canal,3046,2839,207,0.06795797767564019
alibaba/spring-cloud-alibaba,1744,980,764,0.4380733944954128
looly/hutool,1098,299,799,0.7276867030965392
xuxueli/xxl-job,1964,1885,79,0.040224032586558045
shuzheng/zheng,182,174,8,0.04395604395604396
didi/DoraemonKit,664,617,47,0.07078313253012049
bazelbuild/bazel,11595,1116,10479,0.903751617076326
Tencent/tinker,1454,1110,344,0.23658872077028886
zhangdaiscott/jeecg-boot,1566,1556,10,0.006385696040868455
dbeaver/dbeaver,9795,1367,8428,0.8604389994895355
CarGuo/GSYVideoPlayer,2845,2798,47,0.016520210896309315
apache/skywalking,5525,892,4633,0.838552036199095
android10/Android-CleanArchitecture,297,233,64,0.21548821548821548
redisson/redisson,3050,1701,1349,0.4422950819672131
mybatis/mybatis-3,2051,1128,923,0.4500243783520234
dianping/cat,2030,2022,8,0.003940886699507389
linlinjava/litemall,427,400,27,0.06323185011709602
alibaba/nacos,3871,2044,1827,0.4719710669077758
forezp/SpringCloudLearning,58,58,0,0.0
apache/flink,13434,984,12450,0.9267530147387226
winterbe/java8-tutorial,37,37,0,0.0
alibaba/Sentinel,1751,263,1488,0.8498001142204454
brettwooldridge/HikariCP,1640,1026,614,0.374390243902439
signalapp/Signal-Android,9690,8573,1117,0.1152734778121775
oracle/graal,2837,582,2255,0.7948537187169545
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,485,477,8,0.016494845360824743
JeffLi1993/springboot-learning-example,101,95,6,0.0594059405940594
lgvalle/Material-Animations,63,63,0,0.0
openzipkin/zipkin,3168,2144,1024,0.32323232323232326
hdodenhof/CircleImageView,392,372,20,0.05102040816326531
react-native-community/lottie-react-native,679,600,79,0.11634756995581738
LMAX-Exchange/disruptor,302,291,11,0.03642384105960265
orhanobut/logger,236,196,40,0.1694915254237288
alibaba/ARouter,849,840,9,0.01060070671378092
apache/rocketmq,2304,1187,1117,0.4848090277777778
greenrobot/greenDAO,1049,793,256,0.2440419447092469
Tencent/QMUI_Android,1003,907,96,0.09571286141575275
apache/shardingsphere,7540,1019,6521,0.8648541114058356
Bigkoo/Android-PickerView,935,813,122,0.1304812834224599
dyc87112/SpringBoot-Learning,54,50,4,0.07407407407407407
facebook/stetho,670,331,339,0.5059701492537313
Curzibn/Luban,379,364,15,0.0395778364116095
daimajia/AndroidSwipeLayout,547,512,35,0.06398537477148081
